origin_id,destination_id,origin_store,destination_store,distance_meters,duration_seconds,duration_minutes
L18,L60,Kalanikethan Kukatpally,Lalitha Jewellery,69132,4605,76.75
L18,L11,Kalanikethan Kukatpally,Inorbit Mall Shoppers Stop,71869,5127,85.45
L60,L21,Lalitha Jewellery,Bajaj Electronics,39274,3018,50.3
L18,L21,Kalanikethan Kukatpally,Bajaj Electronics,34031,2687,44.78
L11,L21,Inorbit Mall Shoppers Stop,Bajaj Electronics,47112,3798,63.3
L60,L32,Lalitha Jewellery,Karachi Bakery,31380,3196,53.27
L21,L60,Bajaj Electronics,Lalitha Jewellery,38887,3092,51.53
L45,L60,Lakme Salon,Lalitha Jewellery,36599,3853,64.22
L60,L45,Lalitha Jewellery,Lakme Salon,37912,3662,61.03
L45,L11,Lakme Salon,Inorbit Mall Shoppers Stop,43100,4535,75.58
L18,L32,Kalanikethan Kukatpally,Karachi Bakery,77583,5626,93.77
L32,L21,Karachi Bakery,Bajaj Electronics,52827,4279,71.32
L45,L21,Lakme Salon,Bajaj Electronics,30381,3211,53.52
L60,L18,Lalitha Jewellery,Kalanikethan Kukatpally,69324,4503,75.05
L21,L32,Bajaj Electronics,Karachi Bakery,47339,4113,68.55
L18,L45,Kalanikethan Kukatpally,Lakme Salon,15700,2469,41.15
L11,L45,Inorbit Mall Shoppers Stop,Lakme Salon,43066,4427,73.78
L21,L18,Bajaj Electronics,Kalanikethan Kukatpally,34125,2678,44.63
L11,L18,Inorbit Mall Shoppers Stop,Kalanikethan Kukatpally,77162,5283,88.05
L21,L45,Bajaj Electronics,Lakme Salon,29046,3105,51.75
L32,L45,Karachi Bakery,Lakme Salon,48780,4909,81.82
L45,L18,Lakme Salon,Kalanikethan Kukatpally,18858,2856,47.6
L32,L18,Karachi Bakery,Kalanikethan Kukatpally,82877,5764,96.07
L57,L5,Joyalukkas,Reliance Smart Jubilee,39689,3140,52.33
L5,L21,Reliance Smart Jubilee,Bajaj Electronics,34341,3229,53.82
L5,L57,Reliance Smart Jubilee,Joyalukkas,28617,2911,48.52
L57,L21,Joyalukkas,Bajaj Electronics,9516,1198,19.97
L21,L57,Bajaj Electronics,Joyalukkas,9915,1255,20.92
L21,L5,Bajaj Electronics,Reliance Smart Jubilee,44261,3280,54.67
L35,L53,Roastery Coffee House,Bata Shoe Store,18271,1735,28.92
L53,L32,Bata Shoe Store,Karachi Bakery,98253,6356,105.93
L53,L35,Bata Shoe Store,Roastery Coffee House,16989,1682,28.03
L53,L43,Bata Shoe Store,Naturals Salon,54748,3141,52.35
L35,L43,Roastery Coffee House,Naturals Salon,67608,4022,67.03
L43,L35,Naturals Salon,Roastery Coffee House,67034,4003,66.72
L32,L53,Karachi Bakery,Bata Shoe Store,101154,6246,104.1
L35,L32,Roastery Coffee House,Karachi Bakery,86462,6066,101.1
L43,L32,Naturals Salon,Karachi Bakery,54939,4269,71.15
L43,L53,Naturals Salon,Bata Shoe Store,54748,3112,51.87
L32,L35,Karachi Bakery,Roastery Coffee House,91161,6109,101.82
L32,L43,Karachi Bakery,Naturals Salon,53412,3932,65.53
L33,L40,Pista House,Apollo Health City,92468,5637,93.95
L40,L25,Apollo Health City,IKEA Hyderabad,89526,5844,97.4
L25,L33,IKEA Hyderabad,Pista House,20681,2543,42.38
L33,L25,Pista House,IKEA Hyderabad,20328,2486,41.43
L40,L1,Apollo Health City,Ratnadeep Supermarket,56590,3364,56.07
L1,L40,Ratnadeep Supermarket,Apollo Health City,56638,3402,56.7
L25,L40,IKEA Hyderabad,Apollo Health City,89139,5856,97.6
L1,L25,Ratnadeep Supermarket,IKEA Hyderabad,34334,3246,54.1
L25,L1,IKEA Hyderabad,Ratnadeep Supermarket,34358,3280,54.67
L31,L33,Cafe Niloufer,Pista House,59316,5002,83.37
L40,L33,Apollo Health City,Pista House,88029,5473,91.22
L1,L33,Ratnadeep Supermarket,Pista House,44612,3527,58.78
L33,L31,Pista House,Cafe Niloufer,60400,5058,84.3
L31,L40,Cafe Niloufer,Apollo Health City,47018,3737,62.28
L1,L31,Ratnadeep Supermarket,Cafe Niloufer,27363,2806,46.77
L31,L1,Cafe Niloufer,Ratnadeep Supermarket,27877,2894,48.23
L31,L25,Cafe Niloufer,IKEA Hyderabad,52153,5291,88.18
L33,L1,Pista House,Ratnadeep Supermarket,45850,3617,60.28
L40,L31,Apollo Health City,Cafe Niloufer,46926,3683,61.38
L25,L31,IKEA Hyderabad,Cafe Niloufer,51075,5171,86.18
L39,L33,Apollo Pharmacy,Pista House,27139,3042,50.7
L39,L25,Apollo Pharmacy,IKEA Hyderabad,28637,3413,56.88
L1,L39,Ratnadeep Supermarket,Apollo Pharmacy,40132,2971,49.52
L33,L39,Pista House,Apollo Pharmacy,28993,3150,52.5
L39,L1,Apollo Pharmacy,Ratnadeep Supermarket,32258,2988,49.8
L39,L31,Apollo Pharmacy,Cafe Niloufer,46808,4429,73.82
L25,L39,IKEA Hyderabad,Apollo Pharmacy,29001,3511,58.52
L40,L39,Apollo Health City,Apollo Pharmacy,35344,4792,79.87
L31,L39,Cafe Niloufer,Apollo Pharmacy,54836,4446,74.1
L39,L40,Apollo Pharmacy,Apollo Health City,34806,4585,76.42
L19,L57,South India Shopping Mall,Joyalukkas,12195,1787,29.78
L57,L19,Joyalukkas,South India Shopping Mall,11273,1532,25.53
L19,L48,South India Shopping Mall,Decathlon Madhapur,25756,3391,56.52
L48,L57,Decathlon Madhapur,Joyalukkas,34822,3119,51.98
L57,L48,Joyalukkas,Decathlon Madhapur,30212,3073,51.22
L48,L19,Decathlon Madhapur,South India Shopping Mall,24774,3460,57.67
L53,L57,Bata Shoe Store,Joyalukkas,65615,3972,66.2
L32,L57,Karachi Bakery,Joyalukkas,47102,3961,66.02
L43,L57,Naturals Salon,Joyalukkas,55376,3318,55.3
L57,L32,Joyalukkas,Karachi Bakery,42767,3973,66.22
L57,L35,Joyalukkas,Roastery Coffee House,48901,3686,61.43
L35,L57,Roastery Coffee House,Joyalukkas,53825,3681,61.35
L57,L53,Joyalukkas,Bata Shoe Store,61928,4110,68.5
L57,L43,Joyalukkas,Naturals Salon,55241,3383,56.38
L18,L35,Kalanikethan Kukatpally,Roastery Coffee House,14037,1646,27.43
L60,L35,Lalitha Jewellery,Roastery Coffee House,77609,4848,80.8
L35,L45,Roastery Coffee House,Lakme Salon,23086,3201,53.35
L35,L60,Roastery Coffee House,Lalitha Jewellery,78011,5046,84.1
L35,L21,Roastery Coffee House,Bajaj Electronics,42909,3127,52.12
L35,L11,Roastery Coffee House,Inorbit Mall Shoppers Stop,80748,5568,92.8
L35,L18,Roastery Coffee House,Kalanikethan Kukatpally,13406,1826,30.43
L45,L35,Lakme Salon,Roastery Coffee House,23306,3130,52.17
L21,L35,Bajaj Electronics,Roastery Coffee House,42410,3023,50.38
L11,L35,Inorbit Mall Shoppers Stop,Roastery Coffee House,85447,5628,93.8
L48,L57,Decathlon Madhapur,Joyalukkas,34822,3119,51.98
L57,L19,Joyalukkas,South India Shopping Mall,11273,1532,25.53
L19,L57,South India Shopping Mall,Joyalukkas,12195,1787,29.78
L57,L48,Joyalukkas,Decathlon Madhapur,30212,3073,51.22
L19,L48,South India Shopping Mall,Decathlon Madhapur,25756,3391,56.52
L48,L19,Decathlon Madhapur,South India Shopping Mall,24774,3460,57.67
L57,L19,Joyalukkas,South India Shopping Mall,11273,1532,25.53
L57,L48,Joyalukkas,Decathlon Madhapur,30212,3073,51.22
L19,L57,South India Shopping Mall,Joyalukkas,12195,1787,29.78
L48,L19,Decathlon Madhapur,South India Shopping Mall,24774,3460,57.67
L19,L48,South India Shopping Mall,Decathlon Madhapur,25756,3391,56.52
L48,L57,Decathlon Madhapur,Joyalukkas,34822,3119,51.98
L35,L45,Roastery Coffee House,Lakme Salon,23086,3201,53.35
L35,L60,Roastery Coffee House,Lalitha Jewellery,78011,5046,84.1
L45,L35,Lakme Salon,Roastery Coffee House,23306,3130,52.17
L18,L35,Kalanikethan Kukatpally,Roastery Coffee House,14037,1646,27.43
L11,L35,Inorbit Mall Shoppers Stop,Roastery Coffee House,85447,5628,93.8
L60,L35,Lalitha Jewellery,Roastery Coffee House,77609,4848,80.8
L35,L18,Roastery Coffee House,Kalanikethan Kukatpally,13406,1826,30.43
L21,L35,Bajaj Electronics,Roastery Coffee House,42410,3023,50.38
L35,L21,Roastery Coffee House,Bajaj Electronics,42909,3127,52.12
L35,L11,Roastery Coffee House,Inorbit Mall Shoppers Stop,80748,5568,92.8
L48,L19,Decathlon Madhapur,South India Shopping Mall,24774,3460,57.67
L48,L57,Decathlon Madhapur,Joyalukkas,34822,3119,51.98
L19,L48,South India Shopping Mall,Decathlon Madhapur,25756,3391,56.52
L57,L19,Joyalukkas,South India Shopping Mall,11273,1532,25.53
L19,L57,South India Shopping Mall,Joyalukkas,12195,1787,29.78
L57,L48,Joyalukkas,Decathlon Madhapur,30212,3073,51.22
L48,L19,Decathlon Madhapur,South India Shopping Mall,24774,3460,57.67
L48,L57,Decathlon Madhapur,Joyalukkas,34822,3119,51.98
L19,L57,South India Shopping Mall,Joyalukkas,12195,1787,29.78
L19,L48,South India Shopping Mall,Decathlon Madhapur,25756,3391,56.52
L57,L48,Joyalukkas,Decathlon Madhapur,30212,3073,51.22
L57,L19,Joyalukkas,South India Shopping Mall,11273,1532,25.53
L25,L47,IKEA Hyderabad,Himalaya Book World,20280,2632,43.87
L2,L47,Vijetha Supermarket,Himalaya Book World,16147,1978,32.97
L40,L13,Apollo Health City,Forum Sujana Zara,30231,2029,33.82
L40,L2,Apollo Health City,Vijetha Supermarket,85377,5183,86.38
L25,L13,IKEA Hyderabad,Forum Sujana Zara,82603,5481,91.35
L13,L47,Forum Sujana Zara,Himalaya Book World,74799,4633,77.22
L47,L25,Himalaya Book World,IKEA Hyderabad,21088,2600,43.33
L25,L2,IKEA Hyderabad,Vijetha Supermarket,12336,1761,29.35
L2,L25,Vijetha Supermarket,IKEA Hyderabad,12335,1764,29.4
L47,L2,Himalaya Book World,Vijetha Supermarket,16939,1940,32.33
L47,L38,Himalaya Book World,MedPlus Madhapur,35059,3561,59.35
L38,L13,MedPlus Madhapur,Forum Sujana Zara,60435,4200,70.0
L40,L47,Apollo Health City,Himalaya Book World,81925,5017,83.62
L47,L40,Himalaya Book World,Apollo Health City,81556,5068,84.47
L2,L13,Vijetha Supermarket,Forum Sujana Zara,78470,4827,80.45
L40,L38,Apollo Health City,MedPlus Madhapur,36628,3106,51.77
L13,L29,Forum Sujana Zara,Bawarchi RTC X Roads,17466,2212,36.87
L25,L38,IKEA Hyderabad,MedPlus Madhapur,42642,4349,72.48
L38,L40,MedPlus Madhapur,Apollo Health City,36717,2925,48.75
L2,L38,Vijetha Supermarket,MedPlus Madhapur,38509,3694,61.57
L2,L40,Vijetha Supermarket,Apollo Health City,85006,5202,86.7
L29,L40,Bawarchi RTC X Roads,Apollo Health City,36715,3061,51.02
L13,L40,Forum Sujana Zara,Apollo Health City,29410,2055,34.25
L38,L2,MedPlus Madhapur,Vijetha Supermarket,36681,3834,63.9
L38,L47,MedPlus Madhapur,Himalaya Book World,33229,3668,61.13
L47,L13,Himalaya Book World,Forum Sujana Zara,75020,4693,78.22
L13,L2,Forum Sujana Zara,Vijetha Supermarket,78251,4799,79.98
L13,L25,Forum Sujana Zara,IKEA Hyderabad,82401,5459,90.98
L13,L38,Forum Sujana Zara,MedPlus Madhapur,60235,4470,74.5
L38,L29,MedPlus Madhapur,Bawarchi RTC X Roads,29440,4257,70.95
L25,L29,IKEA Hyderabad,Bawarchi RTC X Roads,51937,6568,109.47
L29,L47,Bawarchi RTC X Roads,Himalaya Book World,42742,5667,94.45
L29,L2,Bawarchi RTC X Roads,Vijetha Supermarket,46195,5833,97.22
L2,L29,Vijetha Supermarket,Bawarchi RTC X Roads,47804,5914,98.57
L40,L29,Apollo Health City,Bawarchi RTC X Roads,38510,3256,54.27
L38,L25,MedPlus Madhapur,IKEA Hyderabad,40830,4494,74.9
L29,L25,Bawarchi RTC X Roads,IKEA Hyderabad,50344,6493,108.22
L29,L38,Bawarchi RTC X Roads,MedPlus Madhapur,30551,4333,72.22
L29,L13,Bawarchi RTC X Roads,Forum Sujana Zara,17635,2266,37.77
L47,L29,Himalaya Book World,Bawarchi RTC X Roads,44354,5780,96.33
L2,L40,Vijetha Supermarket,Apollo Health City,85006,5202,86.7
L2,L47,Vijetha Supermarket,Himalaya Book World,16147,1978,32.97
L25,L38,IKEA Hyderabad,MedPlus Madhapur,42642,4349,72.48
L25,L2,IKEA Hyderabad,Vijetha Supermarket,12336,1761,29.35
L13,L40,Forum Sujana Zara,Apollo Health City,29410,2055,34.25
L25,L13,IKEA Hyderabad,Forum Sujana Zara,82603,5481,91.35
L13,L38,Forum Sujana Zara,MedPlus Madhapur,60235,4470,74.5
L38,L13,MedPlus Madhapur,Forum Sujana Zara,60435,4200,70.0
L38,L29,MedPlus Madhapur,Bawarchi RTC X Roads,29440,4257,70.95
L29,L25,Bawarchi RTC X Roads,IKEA Hyderabad,50344,6493,108.22
L13,L25,Forum Sujana Zara,IKEA Hyderabad,82401,5459,90.98
L13,L47,Forum Sujana Zara,Himalaya Book World,74799,4633,77.22
L13,L2,Forum Sujana Zara,Vijetha Supermarket,78251,4799,79.98
L38,L25,MedPlus Madhapur,IKEA Hyderabad,40830,4494,74.9
L38,L2,MedPlus Madhapur,Vijetha Supermarket,36681,3834,63.9
L29,L40,Bawarchi RTC X Roads,Apollo Health City,36715,3061,51.02
L29,L38,Bawarchi RTC X Roads,MedPlus Madhapur,30551,4333,72.22
L25,L47,IKEA Hyderabad,Himalaya Book World,20280,2632,43.87
L13,L29,Forum Sujana Zara,Bawarchi RTC X Roads,17466,2212,36.87
L25,L29,IKEA Hyderabad,Bawarchi RTC X Roads,51937,6568,109.47
L38,L47,MedPlus Madhapur,Himalaya Book World,33229,3668,61.13
L29,L47,Bawarchi RTC X Roads,Himalaya Book World,42742,5667,94.45
L40,L13,Apollo Health City,Forum Sujana Zara,30231,2029,33.82
L40,L38,Apollo Health City,MedPlus Madhapur,36628,3106,51.77
L40,L47,Apollo Health City,Himalaya Book World,81925,5017,83.62
L47,L38,Himalaya Book World,MedPlus Madhapur,35059,3561,59.35
L47,L29,Himalaya Book World,Bawarchi RTC X Roads,44354,5780,96.33
L47,L25,Himalaya Book World,IKEA Hyderabad,21088,2600,43.33
L47,L13,Himalaya Book World,Forum Sujana Zara,75020,4693,78.22
L47,L2,Himalaya Book World,Vijetha Supermarket,16939,1940,32.33
L40,L29,Apollo Health City,Bawarchi RTC X Roads,38510,3256,54.27
L40,L2,Apollo Health City,Vijetha Supermarket,85377,5183,86.38
L29,L2,Bawarchi RTC X Roads,Vijetha Supermarket,46195,5833,97.22
L2,L29,Vijetha Supermarket,Bawarchi RTC X Roads,47804,5914,98.57
L2,L13,Vijetha Supermarket,Forum Sujana Zara,78470,4827,80.45
L2,L38,Vijetha Supermarket,MedPlus Madhapur,38509,3694,61.57
L2,L25,Vijetha Supermarket,IKEA Hyderabad,12335,1764,29.4
L29,L13,Bawarchi RTC X Roads,Forum Sujana Zara,17635,2266,37.77
L38,L40,MedPlus Madhapur,Apollo Health City,36717,2925,48.75
L47,L40,Himalaya Book World,Apollo Health City,81556,5068,84.47
L37,L35,Alankrita Boutique,Roastery Coffee House,16662,2090,34.83
L8,L15,Nature's Basket,Hyderabad Central,27533,2355,39.25
L15,L8,Hyderabad Central,Nature's Basket,27208,2363,39.38
L35,L8,Roastery Coffee House,Nature's Basket,37490,2888,48.13
L8,L35,Nature's Basket,Roastery Coffee House,37223,2814,46.9
L43,L8,Naturals Salon,Nature's Basket,74251,4372,72.87
L35,L15,Roastery Coffee House,Hyderabad Central,14230,1744,29.07
L7,L43,Q-Mart Gachibowli,Naturals Salon,47337,3139,52.32
L8,L43,Nature's Basket,Naturals Salon,73222,4319,71.98
L15,L37,Hyderabad Central,Alankrita Boutique,19916,3044,50.73
L15,L35,Hyderabad Central,Roastery Coffee House,15858,2065,34.42
L3,L43,Heritage Fresh,Naturals Salon,38093,2604,43.4
L43,L7,Naturals Salon,Q-Mart Gachibowli,48336,3192,53.2
L7,L8,Q-Mart Gachibowli,Nature's Basket,36949,3511,58.52
L43,L37,Naturals Salon,Alankrita Boutique,34392,4173,69.55
L15,L43,Hyderabad Central,Naturals Salon,80296,4591,76.52
L37,L15,Alankrita Boutique,Hyderabad Central,18720,3000,50.0
L43,L3,Naturals Salon,Heritage Fresh,38092,2601,43.35
L15,L3,Hyderabad Central,Heritage Fresh,47952,3578,59.63
L37,L8,Alankrita Boutique,Nature's Basket,53588,4117,68.62
L35,L7,Roastery Coffee House,Q-Mart Gachibowli,70113,4662,77.7
L43,L15,Naturals Salon,Hyderabad Central,80592,4656,77.6
L3,L15,Heritage Fresh,Hyderabad Central,48163,3633,60.55
L3,L7,Heritage Fresh,Q-Mart Gachibowli,36772,4783,79.72
L7,L35,Q-Mart Gachibowli,Roastery Coffee House,62134,4605,76.75
L7,L15,Q-Mart Gachibowli,Hyderabad Central,28799,4032,67.2
L8,L37,Nature's Basket,Alankrita Boutique,36630,4374,72.9
L3,L8,Heritage Fresh,Nature's Basket,66898,4476,74.6
L7,L37,Q-Mart Gachibowli,Alankrita Boutique,19351,3015,50.25
L37,L3,Alankrita Boutique,Heritage Fresh,22743,3363,56.05
L37,L43,Alankrita Boutique,Naturals Salon,32859,4256,70.93
L37,L7,Alankrita Boutique,Q-Mart Gachibowli,23557,3215,53.58
L35,L3,Roastery Coffee House,Heritage Fresh,35264,3009,50.15
L3,L35,Heritage Fresh,Roastery Coffee House,34605,2979,49.65
L7,L3,Q-Mart Gachibowli,Heritage Fresh,35441,4653,77.55
L8,L7,Nature's Basket,Q-Mart Gachibowli,44400,3504,58.4
L8,L3,Nature's Basket,Heritage Fresh,67243,4512,75.2
L3,L37,Heritage Fresh,Alankrita Boutique,23388,3585,59.75
L35,L37,Roastery Coffee House,Alankrita Boutique,18515,2385,39.75
L15,L7,Hyderabad Central,Q-Mart Gachibowli,30299,4280,71.33
L2,L40,Vijetha Supermarket,Apollo Health City,85006,5202,86.7
L2,L47,Vijetha Supermarket,Himalaya Book World,16147,1978,32.97
L38,L29,MedPlus Madhapur,Bawarchi RTC X Roads,29440,4257,70.95
L38,L47,MedPlus Madhapur,Himalaya Book World,33229,3668,61.13
L38,L2,MedPlus Madhapur,Vijetha Supermarket,36681,3834,63.9
L38,L40,MedPlus Madhapur,Apollo Health City,36717,2925,48.75
L29,L38,Bawarchi RTC X Roads,MedPlus Madhapur,30551,4333,72.22
L13,L38,Forum Sujana Zara,MedPlus Madhapur,60235,4470,74.5
L38,L13,MedPlus Madhapur,Forum Sujana Zara,60435,4200,70.0
L29,L13,Bawarchi RTC X Roads,Forum Sujana Zara,17635,2266,37.77
L40,L2,Apollo Health City,Vijetha Supermarket,85377,5183,86.38
L13,L40,Forum Sujana Zara,Apollo Health City,29410,2055,34.25
L13,L29,Forum Sujana Zara,Bawarchi RTC X Roads,17466,2212,36.87
L29,L40,Bawarchi RTC X Roads,Apollo Health City,36715,3061,51.02
L40,L38,Apollo Health City,MedPlus Madhapur,36628,3106,51.77
L47,L29,Himalaya Book World,Bawarchi RTC X Roads,44354,5780,96.33
L47,L38,Himalaya Book World,MedPlus Madhapur,35059,3561,59.35
L13,L47,Forum Sujana Zara,Himalaya Book World,74799,4633,77.22
L40,L47,Apollo Health City,Himalaya Book World,81925,5017,83.62
L47,L13,Himalaya Book World,Forum Sujana Zara,75020,4693,78.22
L29,L2,Bawarchi RTC X Roads,Vijetha Supermarket,46195,5833,97.22
L47,L40,Himalaya Book World,Apollo Health City,81556,5068,84.47
L40,L13,Apollo Health City,Forum Sujana Zara,30231,2029,33.82
L40,L29,Apollo Health City,Bawarchi RTC X Roads,38510,3256,54.27
L29,L47,Bawarchi RTC X Roads,Himalaya Book World,42742,5667,94.45
L13,L2,Forum Sujana Zara,Vijetha Supermarket,78251,4799,79.98
L2,L13,Vijetha Supermarket,Forum Sujana Zara,78470,4827,80.45
L47,L2,Himalaya Book World,Vijetha Supermarket,16939,1940,32.33
L2,L29,Vijetha Supermarket,Bawarchi RTC X Roads,47804,5914,98.57
L2,L38,Vijetha Supermarket,MedPlus Madhapur,38509,3694,61.57
L38,L40,MedPlus Madhapur,Apollo Health City,36717,2925,48.75
L38,L29,MedPlus Madhapur,Bawarchi RTC X Roads,29440,4257,70.95
L38,L2,MedPlus Madhapur,Vijetha Supermarket,36681,3834,63.9
L38,L47,MedPlus Madhapur,Himalaya Book World,33229,3668,61.13
L2,L47,Vijetha Supermarket,Himalaya Book World,16147,1978,32.97
L13,L40,Forum Sujana Zara,Apollo Health City,29410,2055,34.25
L13,L38,Forum Sujana Zara,MedPlus Madhapur,60235,4470,74.5
L29,L38,Bawarchi RTC X Roads,MedPlus Madhapur,30551,4333,72.22
L29,L13,Bawarchi RTC X Roads,Forum Sujana Zara,17635,2266,37.77
L13,L29,Forum Sujana Zara,Bawarchi RTC X Roads,17466,2212,36.87
L38,L13,MedPlus Madhapur,Forum Sujana Zara,60435,4200,70.0
L13,L2,Forum Sujana Zara,Vijetha Supermarket,78251,4799,79.98
L40,L38,Apollo Health City,MedPlus Madhapur,36628,3106,51.77
L13,L47,Forum Sujana Zara,Himalaya Book World,74799,4633,77.22
L29,L47,Bawarchi RTC X Roads,Himalaya Book World,42742,5667,94.45
L2,L40,Vijetha Supermarket,Apollo Health City,85006,5202,86.7
