trip_id,driver_id,date,stop_number,location_id,store_name,latitude,longitude,arrival_time,visit_duration_min,distance_to_next_km,travel_time_to_next_min
8,D8,2026-04-01,1,L32,Karachi Bakery,17.236364,78.223558,08:30,17,23.97,36.0
8,D8,2026-04-01,2,L21,Bajaj Electronics,17.443652,78.285569,09:33,40,24.2,36.3
8,D8,2026-04-01,3,L60,Lalitha Jewellery,17.228343,78.319002,11:00,14,36.18,54.3
8,D8,2026-04-01,4,L18,Kalanikethan Kukatpally,17.546593,78.390063,12:16,32,37.56,56.3
8,D8,2026-04-01,5,L11,Inorbit Mall Shoppers Stop,17.237098,78.248358,13:49,12,30.65,46.0
8,D8,2026-04-01,6,L45,Lakme Salon,17.439578,78.444303,14:54,17,17.8,26.7
8,D8,2026-04-01,7,L35,Roastery Coffee House,17.598449,78.464557,15:51,16,0.0,0.0
9,D9,2026-04-01,1,L48,Decathlon Madhapur,17.57878,78.242827,09:45,24,20.27,30.4
9,D9,2026-04-01,2,L19,South India Shopping Mall,17.454274,78.382416,10:53,21,7.45,11.2
9,D9,2026-04-01,3,L57,Joyalukkas,17.435323,78.315057,11:34,14,0.0,0.0
10,D10,2026-04-01,1,L48,Decathlon Madhapur,17.57878,78.242827,09:45,28,20.27,30.4
10,D10,2026-04-01,2,L19,South India Shopping Mall,17.454274,78.382416,10:48,23,7.45,11.2
10,D10,2026-04-01,3,L57,Joyalukkas,17.435323,78.315057,11:34,28,0.0,0.0
11,D11,2026-04-01,1,L5,Reliance Smart Jubilee,17.287455,78.452678,09:45,24,24.82,37.2
11,D11,2026-04-01,2,L21,Bajaj Electronics,17.443652,78.285569,10:59,37,3.26,4.9
11,D11,2026-04-01,3,L57,Joyalukkas,17.435323,78.315057,11:53,24,12.04,18.1
11,D11,2026-04-01,4,L25,IKEA Hyderabad,17.360466,78.233094,12:48,37,0.0,0.0
12,D12,2026-04-01,1,L5,Reliance Smart Jubilee,17.287455,78.452678,08:45,25,24.82,37.2
12,D12,2026-04-01,2,L21,Bajaj Electronics,17.443652,78.285569,09:56,31,3.26,4.9
12,D12,2026-04-01,3,L57,Joyalukkas,17.435323,78.315057,10:45,31,12.04,18.1
12,D12,2026-04-01,4,L25,IKEA Hyderabad,17.360466,78.233094,11:44,14,0.0,0.0
13,D1,2026-04-02,1,L32,Karachi Bakery,17.236364,78.223558,10:00,18,38.09,57.1
13,D1,2026-04-02,2,L43,Naturals Salon,17.261136,78.581255,11:24,31,39.5,59.2
13,D1,2026-04-02,3,L35,Roastery Coffee House,17.598449,78.464557,13:09,35,12.35,18.5
13,D1,2026-04-02,4,L53,Bata Shoe Store,17.571565,78.577633,14:09,30,0.0,0.0
14,D2,2026-04-02,1,L32,Karachi Bakery,17.236364,78.223558,08:15,13,38.09,57.1
14,D2,2026-04-02,2,L43,Naturals Salon,17.261136,78.581255,09:39,32,39.5,59.2
14,D2,2026-04-02,3,L35,Roastery Coffee House,17.598449,78.464557,11:25,26,12.35,18.5
14,D2,2026-04-02,4,L53,Bata Shoe Store,17.571565,78.577633,12:17,18,0.0,0.0
15,D3,2026-04-02,1,L1,Ratnadeep Supermarket,17.455771,78.212505,10:00,40,10.82,16.2
15,D3,2026-04-02,2,L25,IKEA Hyderabad,17.360466,78.233094,11:04,10,44.79,67.2
15,D3,2026-04-02,3,L40,Apollo Health City,17.588755,78.580981,12:34,33,33.07,49.6
15,D3,2026-04-02,4,L31,Cafe Niloufer,17.59893,78.269166,14:02,15,37.58,56.4
15,D3,2026-04-02,5,L33,Pista House,17.261137,78.279991,15:21,10,0.0,0.0
16,D4,2026-04-02,1,L32,Karachi Bakery,17.236364,78.223558,10:30,21,38.09,57.1
16,D4,2026-04-02,2,L43,Naturals Salon,17.261136,78.581255,12:00,25,39.5,59.2
16,D4,2026-04-02,3,L35,Roastery Coffee House,17.598449,78.464557,13:33,23,12.35,18.5
16,D4,2026-04-02,4,L53,Bata Shoe Store,17.571565,78.577633,14:22,24,0.0,0.0
17,D5,2026-04-02,1,L32,Karachi Bakery,17.236364,78.223558,10:30,26,23.97,36.0
17,D5,2026-04-02,2,L21,Bajaj Electronics,17.443652,78.285569,11:43,35,24.2,36.3
17,D5,2026-04-02,3,L60,Lalitha Jewellery,17.228343,78.319002,13:03,40,36.18,54.3
17,D5,2026-04-02,4,L18,Kalanikethan Kukatpally,17.546593,78.390063,14:47,19,37.56,56.3
17,D5,2026-04-02,5,L11,Inorbit Mall Shoppers Stop,17.237098,78.248358,16:09,34,30.65,46.0
17,D5,2026-04-02,6,L45,Lakme Salon,17.439578,78.444303,17:42,31,0.0,0.0
18,D6,2026-04-02,1,L5,Reliance Smart Jubilee,17.287455,78.452678,08:15,15,24.82,37.2
18,D6,2026-04-02,2,L21,Bajaj Electronics,17.443652,78.285569,09:13,31,3.26,4.9
18,D6,2026-04-02,3,L57,Joyalukkas,17.435323,78.315057,10:01,20,0.0,0.0
19,D7,2026-04-02,1,L32,Karachi Bakery,17.236364,78.223558,09:45,31,38.09,57.1
19,D7,2026-04-02,2,L43,Naturals Salon,17.261136,78.581255,11:18,35,39.5,59.2
19,D7,2026-04-02,3,L35,Roastery Coffee House,17.598449,78.464557,13:05,13,12.35,18.5
19,D7,2026-04-02,4,L53,Bata Shoe Store,17.571565,78.577633,13:49,16,0.0,0.0
20,D8,2026-04-02,1,L1,Ratnadeep Supermarket,17.455771,78.212505,10:30,38,10.82,16.2
20,D8,2026-04-02,2,L25,IKEA Hyderabad,17.360466,78.233094,11:39,35,44.79,67.2
20,D8,2026-04-02,3,L40,Apollo Health City,17.588755,78.580981,13:28,18,33.07,49.6
20,D8,2026-04-02,4,L31,Cafe Niloufer,17.59893,78.269166,14:51,30,37.58,56.4
20,D8,2026-04-02,5,L33,Pista House,17.261137,78.279991,16:23,37,0.0,0.0
21,D9,2026-04-02,1,L2,Vijetha Supermarket,17.297957,78.269769,08:00,15,5.38,8.1
21,D9,2026-04-02,2,L47,Himalaya Book World,17.295781,78.320436,08:34,32,42.72,64.1
21,D9,2026-04-02,3,L40,Apollo Health City,17.588755,78.580981,10:21,30,19.27,28.9
21,D9,2026-04-02,4,L29,Bawarchi RTC X Roads,17.415591,78.573507,11:29,25,12.0,18.0
21,D9,2026-04-02,5,L13,Forum Sujana Zara,17.414491,78.686558,12:20,35,35.12,52.7
21,D9,2026-04-02,6,L38,MedPlus Madhapur,17.507439,78.370088,13:59,35,21.87,32.8
21,D9,2026-04-02,7,L25,IKEA Hyderabad,17.360466,78.233094,15:20,15,0.0,0.0
22,D10,2026-04-02,1,L2,Vijetha Supermarket,17.297957,78.269769,08:00,40,5.38,8.1
22,D10,2026-04-02,2,L47,Himalaya Book World,17.295781,78.320436,08:55,17,42.72,64.1
22,D10,2026-04-02,3,L40,Apollo Health City,17.588755,78.580981,10:21,29,19.27,28.9
22,D10,2026-04-02,4,L29,Bawarchi RTC X Roads,17.415591,78.573507,11:31,15,12.0,18.0
22,D10,2026-04-02,5,L13,Forum Sujana Zara,17.414491,78.686558,12:10,33,35.12,52.7
22,D10,2026-04-02,6,L38,MedPlus Madhapur,17.507439,78.370088,13:50,38,21.87,32.8
22,D10,2026-04-02,7,L25,IKEA Hyderabad,17.360466,78.233094,15:11,35,0.0,0.0
23,D11,2026-04-02,1,L32,Karachi Bakery,17.236364,78.223558,09:00,39,38.09,57.1
23,D11,2026-04-02,2,L43,Naturals Salon,17.261136,78.581255,10:45,38,39.5,59.2
23,D11,2026-04-02,3,L35,Roastery Coffee House,17.598449,78.464557,12:28,10,12.35,18.5
23,D11,2026-04-02,4,L53,Bata Shoe Store,17.571565,78.577633,13:10,19,0.0,0.0
24,D12,2026-04-02,1,L32,Karachi Bakery,17.236364,78.223558,10:30,32,23.97,36.0
24,D12,2026-04-02,2,L21,Bajaj Electronics,17.443652,78.285569,11:49,36,24.2,36.3
24,D12,2026-04-02,3,L60,Lalitha Jewellery,17.228343,78.319002,13:15,15,36.18,54.3
24,D12,2026-04-02,4,L18,Kalanikethan Kukatpally,17.546593,78.390063,14:32,15,37.56,56.3
24,D12,2026-04-02,5,L11,Inorbit Mall Shoppers Stop,17.237098,78.248358,15:51,15,30.65,46.0
24,D12,2026-04-02,6,L45,Lakme Salon,17.439578,78.444303,17:07,31,0.0,0.0
25,D1,2026-04-03,1,L32,Karachi Bakery,17.236364,78.223558,08:00,22,38.09,57.1
25,D1,2026-04-03,2,L43,Naturals Salon,17.261136,78.581255,09:24,16,39.5,59.2
25,D1,2026-04-03,3,L35,Roastery Coffee House,17.598449,78.464557,10:48,30,0.0,0.0
26,D2,2026-04-03,1,L32,Karachi Bakery,17.236364,78.223558,09:00,33,38.09,57.1
26,D2,2026-04-03,2,L43,Naturals Salon,17.261136,78.581255,10:38,31,39.5,59.2
26,D2,2026-04-03,3,L35,Roastery Coffee House,17.598449,78.464557,12:16,23,0.0,0.0
27,D3,2026-04-03,1,L35,Roastery Coffee House,17.598449,78.464557,08:15,30,10.15,15.2
27,D3,2026-04-03,2,L15,Hyderabad Central,17.554181,78.380818,09:12,32,21.24,31.9
27,D3,2026-04-03,3,L7,Q-Mart Gachibowli,17.367808,78.424605,10:25,40,29.19,43.8
27,D3,2026-04-03,4,L8,Nature's Basket,17.523772,78.203249,11:57,16,28.7,43.1
27,D3,2026-04-03,5,L37,Alankrita Boutique,17.472684,78.468485,13:03,12,18.84,28.3
27,D3,2026-04-03,6,L3,Heritage Fresh,17.47068,78.64609,13:52,36,24.29,36.4
27,D3,2026-04-03,7,L43,Naturals Salon,17.261136,78.581255,15:17,20,0.0,0.0
28,D4,2026-04-03,1,L32,Karachi Bakery,17.236364,78.223558,09:15,13,23.97,36.0
28,D4,2026-04-03,2,L21,Bajaj Electronics,17.443652,78.285569,10:11,27,24.2,36.3
28,D4,2026-04-03,3,L60,Lalitha Jewellery,17.228343,78.319002,11:28,32,36.18,54.3
28,D4,2026-04-03,4,L18,Kalanikethan Kukatpally,17.546593,78.390063,13:01,17,37.56,56.3
28,D4,2026-04-03,5,L11,Inorbit Mall Shoppers Stop,17.237098,78.248358,14:21,30,0.0,0.0
29,D5,2026-04-03,1,L2,Vijetha Supermarket,17.297957,78.269769,08:15,27,5.38,8.1
29,D5,2026-04-03,2,L47,Himalaya Book World,17.295781,78.320436,08:56,21,42.72,64.1
29,D5,2026-04-03,3,L40,Apollo Health City,17.588755,78.580981,10:35,37,19.27,28.9
29,D5,2026-04-03,4,L29,Bawarchi RTC X Roads,17.415591,78.573507,11:55,19,12.0,18.0
29,D5,2026-04-03,5,L13,Forum Sujana Zara,17.414491,78.686558,12:38,26,35.12,52.7
29,D5,2026-04-03,6,L38,MedPlus Madhapur,17.507439,78.370088,14:06,22,0.0,0.0
30,D6,2026-04-03,1,L32,Karachi Bakery,17.236364,78.223558,08:00,27,38.09,57.1
30,D6,2026-04-03,2,L43,Naturals Salon,17.261136,78.581255,09:33,29,39.5,59.2
30,D6,2026-04-03,3,L35,Roastery Coffee House,17.598449,78.464557,11:06,29,0.0,0.0
31,D7,2026-04-03,1,L1,Ratnadeep Supermarket,17.455771,78.212505,09:00,10,10.82,16.2
31,D7,2026-04-03,2,L25,IKEA Hyderabad,17.360466,78.233094,09:38,13,44.79,67.2
31,D7,2026-04-03,3,L40,Apollo Health City,17.588755,78.580981,11:09,14,33.07,49.6
31,D7,2026-04-03,4,L31,Cafe Niloufer,17.59893,78.269166,12:28,11,0.0,0.0
32,D8,2026-04-03,1,L32,Karachi Bakery,17.236364,78.223558,10:15,12,38.09,57.1
32,D8,2026-04-03,2,L43,Naturals Salon,17.261136,78.581255,11:32,14,39.5,59.2
32,D8,2026-04-03,3,L35,Roastery Coffee House,17.598449,78.464557,12:54,32,0.0,0.0
33,D9,2026-04-03,1,L2,Vijetha Supermarket,17.297957,78.269769,08:00,28,5.38,8.1
33,D9,2026-04-03,2,L47,Himalaya Book World,17.295781,78.320436,08:43,30,42.72,64.1
33,D9,2026-04-03,3,L40,Apollo Health City,17.588755,78.580981,10:25,36,19.27,28.9
33,D9,2026-04-03,4,L29,Bawarchi RTC X Roads,17.415591,78.573507,11:39,25,12.0,18.0
33,D9,2026-04-03,5,L13,Forum Sujana Zara,17.414491,78.686558,12:37,38,35.12,52.7
33,D9,2026-04-03,6,L38,MedPlus Madhapur,17.507439,78.370088,14:20,39,0.0,0.0
34,D10,2026-04-03,1,L1,Ratnadeep Supermarket,17.455771,78.212505,10:30,26,10.82,16.2
34,D10,2026-04-03,2,L25,IKEA Hyderabad,17.360466,78.233094,11:22,28,44.79,67.2
34,D10,2026-04-03,3,L40,Apollo Health City,17.588755,78.580981,13:02,36,33.07,49.6
34,D10,2026-04-03,4,L31,Cafe Niloufer,17.59893,78.269166,14:36,38,0.0,0.0
35,D11,2026-04-03,1,L2,Vijetha Supermarket,17.297957,78.269769,09:00,27,5.38,8.1
35,D11,2026-04-03,2,L47,Himalaya Book World,17.295781,78.320436,09:45,34,42.72,64.1
35,D11,2026-04-03,3,L40,Apollo Health City,17.588755,78.580981,11:30,33,19.27,28.9
35,D11,2026-04-03,4,L29,Bawarchi RTC X Roads,17.415591,78.573507,12:42,37,12.0,18.0
35,D11,2026-04-03,5,L13,Forum Sujana Zara,17.414491,78.686558,13:44,19,35.12,52.7
35,D11,2026-04-03,6,L38,MedPlus Madhapur,17.507439,78.370088,15:06,40,0.0,0.0
36,D12,2026-04-03,1,L35,Roastery Coffee House,17.598449,78.464557,08:30,20,10.15,15.2
36,D12,2026-04-03,2,L15,Hyderabad Central,17.554181,78.380818,09:10,10,21.24,31.9
36,D12,2026-04-03,3,L7,Q-Mart Gachibowli,17.367808,78.424605,10:01,38,29.19,43.8
36,D12,2026-04-03,4,L8,Nature's Basket,17.523772,78.203249,11:28,10,28.7,43.1
36,D12,2026-04-03,5,L37,Alankrita Boutique,17.472684,78.468485,12:35,30,18.84,28.3
36,D12,2026-04-03,6,L3,Heritage Fresh,17.47068,78.64609,13:40,17,24.29,36.4
36,D12,2026-04-03,7,L43,Naturals Salon,17.261136,78.581255,14:42,33,0.0,0.0
37,D1,2026-04-04,1,L32,Karachi Bakery,17.236364,78.223558,10:15,31,23.97,36.0
37,D1,2026-04-04,2,L21,Bajaj Electronics,17.443652,78.285569,11:36,12,24.2,36.3
37,D1,2026-04-04,3,L60,Lalitha Jewellery,17.228343,78.319002,12:38,31,36.18,54.3
37,D1,2026-04-04,4,L18,Kalanikethan Kukatpally,17.546593,78.390063,14:18,26,0.0,0.0
38,D2,2026-04-04,1,L2,Vijetha Supermarket,17.297957,78.269769,09:00,30,5.38,8.1
38,D2,2026-04-04,2,L47,Himalaya Book World,17.295781,78.320436,09:49,23,42.72,64.1
38,D2,2026-04-04,3,L40,Apollo Health City,17.588755,78.580981,11:22,12,19.27,28.9
38,D2,2026-04-04,4,L29,Bawarchi RTC X Roads,17.415591,78.573507,12:13,32,12.0,18.0
38,D2,2026-04-04,5,L13,Forum Sujana Zara,17.414491,78.686558,13:15,21,0.0,0.0
39,D3,2026-04-04,1,L32,Karachi Bakery,17.236364,78.223558,10:15,16,22.24,33.4
39,D3,2026-04-04,2,L4,D-Mart Begumpet,17.436197,78.215891,11:13,22,23.43,35.1
39,D3,2026-04-04,3,L39,Apollo Pharmacy,17.373906,78.426862,12:15,16,21.13,31.7
39,D3,2026-04-04,4,L28,Paradise Biryani Secunderabad,17.257149,78.269815,13:11,22,12.77,19.2
39,D3,2026-04-04,5,L22,Croma Jubilee Hills,17.265361,78.389728,14:06,10,31.27,46.9
39,D3,2026-04-04,6,L18,Kalanikethan Kukatpally,17.546593,78.390063,15:18,35,28.85,43.3
39,D3,2026-04-04,7,L47,Himalaya Book World,17.295781,78.320436,16:45,31,0.0,0.0
40,D4,2026-04-04,1,L32,Karachi Bakery,17.236364,78.223558,08:30,24,23.97,36.0
40,D4,2026-04-04,2,L21,Bajaj Electronics,17.443652,78.285569,09:44,38,24.2,36.3
40,D4,2026-04-04,3,L60,Lalitha Jewellery,17.228343,78.319002,11:11,11,36.18,54.3
40,D4,2026-04-04,4,L18,Kalanikethan Kukatpally,17.546593,78.390063,12:24,19,0.0,0.0
41,D5,2026-04-04,1,L32,Karachi Bakery,17.236364,78.223558,08:30,22,23.97,36.0
41,D5,2026-04-04,2,L21,Bajaj Electronics,17.443652,78.285569,09:38,17,24.2,36.3
41,D5,2026-04-04,3,L60,Lalitha Jewellery,17.228343,78.319002,10:38,38,36.18,54.3
41,D5,2026-04-04,4,L18,Kalanikethan Kukatpally,17.546593,78.390063,12:21,28,0.0,0.0
42,D6,2026-04-04,1,L32,Karachi Bakery,17.236364,78.223558,09:45,30,22.24,33.4
42,D6,2026-04-04,2,L4,D-Mart Begumpet,17.436197,78.215891,10:54,10,23.43,35.1
42,D6,2026-04-04,3,L39,Apollo Pharmacy,17.373906,78.426862,11:48,17,21.13,31.7
42,D6,2026-04-04,4,L28,Paradise Biryani Secunderabad,17.257149,78.269815,12:45,14,12.77,19.2
42,D6,2026-04-04,5,L22,Croma Jubilee Hills,17.265361,78.389728,13:24,31,31.27,46.9
42,D6,2026-04-04,6,L18,Kalanikethan Kukatpally,17.546593,78.390063,14:55,12,28.85,43.3
42,D6,2026-04-04,7,L47,Himalaya Book World,17.295781,78.320436,16:04,23,0.0,0.0
43,D7,2026-04-04,1,L1,Ratnadeep Supermarket,17.455771,78.212505,08:15,11,10.82,16.2
43,D7,2026-04-04,2,L25,IKEA Hyderabad,17.360466,78.233094,08:51,32,44.79,67.2
43,D7,2026-04-04,3,L40,Apollo Health City,17.588755,78.580981,10:37,40,0.0,0.0
44,D8,2026-04-04,1,L2,Vijetha Supermarket,17.297957,78.269769,10:00,23,5.38,8.1
44,D8,2026-04-04,2,L47,Himalaya Book World,17.295781,78.320436,10:44,27,42.72,64.1
44,D8,2026-04-04,3,L40,Apollo Health City,17.588755,78.580981,12:21,15,19.27,28.9
44,D8,2026-04-04,4,L29,Bawarchi RTC X Roads,17.415591,78.573507,13:16,17,12.0,18.0
44,D8,2026-04-04,5,L13,Forum Sujana Zara,17.414491,78.686558,14:00,10,0.0,0.0
45,D9,2026-04-04,1,L1,Ratnadeep Supermarket,17.455771,78.212505,10:00,18,10.82,16.2
45,D9,2026-04-04,2,L25,IKEA Hyderabad,17.360466,78.233094,10:45,25,44.79,67.2
45,D9,2026-04-04,3,L40,Apollo Health City,17.588755,78.580981,12:26,12,0.0,0.0
46,D10,2026-04-04,1,L2,Vijetha Supermarket,17.297957,78.269769,08:00,38,5.38,8.1
46,D10,2026-04-04,2,L47,Himalaya Book World,17.295781,78.320436,08:52,22,42.72,64.1
46,D10,2026-04-04,3,L40,Apollo Health City,17.588755,78.580981,10:23,28,19.27,28.9
46,D10,2026-04-04,4,L29,Bawarchi RTC X Roads,17.415591,78.573507,11:34,37,12.0,18.0
46,D10,2026-04-04,5,L13,Forum Sujana Zara,17.414491,78.686558,12:37,30,0.0,0.0
47,D11,2026-04-04,1,L32,Karachi Bakery,17.236364,78.223558,10:00,21,23.97,36.0
47,D11,2026-04-04,2,L21,Bajaj Electronics,17.443652,78.285569,11:03,23,24.2,36.3
47,D11,2026-04-04,3,L60,Lalitha Jewellery,17.228343,78.319002,12:15,24,36.18,54.3
47,D11,2026-04-04,4,L18,Kalanikethan Kukatpally,17.546593,78.390063,13:47,20,0.0,0.0
48,D12,2026-04-04,1,L32,Karachi Bakery,17.236364,78.223558,09:45,27,22.24,33.4
48,D12,2026-04-04,2,L4,D-Mart Begumpet,17.436197,78.215891,10:55,14,23.43,35.1
48,D12,2026-04-04,3,L39,Apollo Pharmacy,17.373906,78.426862,11:57,32,21.13,31.7
48,D12,2026-04-04,4,L28,Paradise Biryani Secunderabad,17.257149,78.269815,13:14,19,12.77,19.2
48,D12,2026-04-04,5,L22,Croma Jubilee Hills,17.265361,78.389728,14:05,16,31.27,46.9
48,D12,2026-04-04,6,L18,Kalanikethan Kukatpally,17.546593,78.390063,15:19,15,28.85,43.3
48,D12,2026-04-04,7,L47,Himalaya Book World,17.295781,78.320436,16:24,40,0.0,0.0
49,D1,2026-04-05,1,L2,Vijetha Supermarket,17.297957,78.269769,09:00,12,5.38,8.1
49,D1,2026-04-05,2,L47,Himalaya Book World,17.295781,78.320436,09:30,23,42.72,64.1
49,D1,2026-04-05,3,L40,Apollo Health City,17.588755,78.580981,11:03,20,19.27,28.9
49,D1,2026-04-05,4,L29,Bawarchi RTC X Roads,17.415591,78.573507,12:05,26,0.0,0.0
50,D2,2026-04-05,1,L32,Karachi Bakery,17.236364,78.223558,10:30,25,23.97,36.0
50,D2,2026-04-05,2,L21,Bajaj Electronics,17.443652,78.285569,11:40,21,24.2,36.3
50,D2,2026-04-05,3,L60,Lalitha Jewellery,17.228343,78.319002,12:52,38,0.0,0.0
51,D3,2026-04-05,1,L32,Karachi Bakery,17.236364,78.223558,09:00,17,22.24,33.4
51,D3,2026-04-05,2,L4,D-Mart Begumpet,17.436197,78.215891,10:03,27,23.43,35.1
51,D3,2026-04-05,3,L39,Apollo Pharmacy,17.373906,78.426862,11:12,17,21.13,31.7
51,D3,2026-04-05,4,L28,Paradise Biryani Secunderabad,17.257149,78.269815,12:09,36,12.77,19.2
51,D3,2026-04-05,5,L22,Croma Jubilee Hills,17.265361,78.389728,13:17,18,31.27,46.9
51,D3,2026-04-05,6,L18,Kalanikethan Kukatpally,17.546593,78.390063,14:33,27,0.0,0.0
52,D4,2026-04-05,1,L39,Apollo Pharmacy,17.373906,78.426862,10:30,18,12.7,19.1
52,D4,2026-04-05,2,L22,Croma Jubilee Hills,17.265361,78.389728,11:12,38,45.44,68.2
52,D4,2026-04-05,3,L44,Page 3 Luxury Salon,17.5814,78.661217,13:11,25,36.61,54.9
52,D4,2026-04-05,4,L43,Naturals Salon,17.261136,78.581255,14:41,23,10.25,15.4
52,D4,2026-04-05,5,L20,Chennai Shopping Mall,17.342108,78.535088,15:24,39,26.97,40.5
52,D4,2026-04-05,6,L41,Kimmee's Salon,17.565051,78.635259,16:51,15,31.53,47.3
52,D4,2026-04-05,7,L10,Metro Cash & Carry,17.286126,78.581747,18:04,36,0.0,0.0
53,D5,2026-04-05,1,L35,Roastery Coffee House,17.598449,78.464557,09:00,29,10.15,15.2
53,D5,2026-04-05,2,L15,Hyderabad Central,17.554181,78.380818,09:52,24,21.24,31.9
53,D5,2026-04-05,3,L7,Q-Mart Gachibowli,17.367808,78.424605,11:01,32,29.19,43.8
53,D5,2026-04-05,4,L8,Nature's Basket,17.523772,78.203249,12:28,39,28.7,43.1
53,D5,2026-04-05,5,L37,Alankrita Boutique,17.472684,78.468485,14:04,21,0.0,0.0
54,D6,2026-04-05,1,L32,Karachi Bakery,17.236364,78.223558,08:15,39,23.97,36.0
54,D6,2026-04-05,2,L21,Bajaj Electronics,17.443652,78.285569,09:37,24,24.2,36.3
54,D6,2026-04-05,3,L60,Lalitha Jewellery,17.228343,78.319002,10:50,19,0.0,0.0
55,D7,2026-04-05,1,L32,Karachi Bakery,17.236364,78.223558,09:15,12,22.24,33.4
55,D7,2026-04-05,2,L4,D-Mart Begumpet,17.436197,78.215891,10:08,14,23.43,35.1
55,D7,2026-04-05,3,L39,Apollo Pharmacy,17.373906,78.426862,11:06,36,21.13,31.7
55,D7,2026-04-05,4,L28,Paradise Biryani Secunderabad,17.257149,78.269815,12:20,33,12.77,19.2
55,D7,2026-04-05,5,L22,Croma Jubilee Hills,17.265361,78.389728,13:19,19,31.27,46.9
55,D7,2026-04-05,6,L18,Kalanikethan Kukatpally,17.546593,78.390063,14:31,21,0.0,0.0
56,D8,2026-04-05,1,L32,Karachi Bakery,17.236364,78.223558,10:45,40,22.24,33.4
56,D8,2026-04-05,2,L4,D-Mart Begumpet,17.436197,78.215891,12:11,10,23.43,35.1
56,D8,2026-04-05,3,L39,Apollo Pharmacy,17.373906,78.426862,13:08,30,21.13,31.7
56,D8,2026-04-05,4,L28,Paradise Biryani Secunderabad,17.257149,78.269815,14:23,19,12.77,19.2
56,D8,2026-04-05,5,L22,Croma Jubilee Hills,17.265361,78.389728,15:14,39,31.27,46.9
56,D8,2026-04-05,6,L18,Kalanikethan Kukatpally,17.546593,78.390063,16:51,32,0.0,0.0
57,D9,2026-04-05,1,L32,Karachi Bakery,17.236364,78.223558,09:00,11,23.97,36.0
57,D9,2026-04-05,2,L21,Bajaj Electronics,17.443652,78.285569,09:57,28,24.2,36.3
57,D9,2026-04-05,3,L60,Lalitha Jewellery,17.228343,78.319002,11:15,10,0.0,0.0
